#  im_file        filter  tile  dither  weight_file     zp      FWHM    MJD   EXPTIME   NCHIP
c4d_140911_081118_ooi_i_v1.fits.fz    i    6    30    c4d_140911_081118_oow_i_v1.fits.fz    31.09     0.0    56911.339454    100.0    60
c4d_140911_081326_ooi_i_v1.fits.fz    i    6    31    c4d_140911_081326_oow_i_v1.fits.fz    31.28     0.0    56911.340933    100.0    60
c4d_140911_081533_ooi_i_v1.fits.fz    i    6    32    c4d_140911_081533_oow_i_v1.fits.fz    31.10     0.0    56911.342404    100.0    60
c4d_140911_081741_ooi_i_v1.fits.fz    i    6    33    c4d_140911_081741_oow_i_v1.fits.fz    31.17     0.0    56911.343884    100.0    60
c4d_140911_081946_ooi_i_v1.fits.fz    i    6    34    c4d_140911_081946_oow_i_v1.fits.fz    30.84     0.0    56911.345357    100.0    60
c4d_140911_082155_ooi_i_v1.fits.fz    i    6    35    c4d_140911_082155_oow_i_v1.fits.fz    30.88     0.0    56911.346836    100.0    60
c4d_140911_082404_ooi_i_v1.fits.fz    i    6    36    c4d_140911_082404_oow_i_v1.fits.fz    30.93     0.0    56911.348311    100.0    60
c4d_140911_082612_ooi_i_v1.fits.fz    i    6    37    c4d_140911_082612_oow_i_v1.fits.fz    31.05     0.0    56911.349792    100.0    60
c4d_140911_082819_ooi_i_v1.fits.fz    i    6    38    c4d_140911_082819_oow_i_v1.fits.fz    30.97     0.0    56911.351266    100.0    60
c4d_140911_083027_ooi_i_v1.fits.fz    i    6    39    c4d_140911_083027_oow_i_v1.fits.fz    30.89     0.0    56911.352740    100.0    60
c4d_140911_083233_ooi_i_v1.fits.fz    i    6    40    c4d_140911_083233_oow_i_v1.fits.fz    31.16     0.0    56911.354220    100.0    60
c4d_140911_083441_ooi_i_v1.fits.fz    i    6    41    c4d_140911_083441_oow_i_v1.fits.fz    31.11     0.0    56911.355704    100.0    60
c4d_140911_083649_ooi_i_v1.fits.fz    i    6    42    c4d_140911_083649_oow_i_v1.fits.fz    31.26     0.0    56911.357189    100.0    60
c4d_140911_084139_ooi_z_v1.fits.fz    z    5    1    c4d_140911_084139_oow_z_v1.fits.fz    31.55     0.0    56911.359367    200.0    60
c4d_140911_084527_ooi_z_v1.fits.fz    z    5    2    c4d_140911_084527_oow_z_v1.fits.fz    31.58     0.0    56911.362006    200.0    60
c4d_140911_084914_ooi_z_v1.fits.fz    z    5    3    c4d_140911_084914_oow_z_v1.fits.fz    31.51     0.0    56911.364636    200.0    60
c4d_140911_085304_ooi_z_v1.fits.fz    z    5    4    c4d_140911_085304_oow_z_v1.fits.fz    31.39     0.0    56911.367291    200.0    60
c4d_140911_085652_ooi_z_v1.fits.fz    z    5    5    c4d_140911_085652_oow_z_v1.fits.fz    31.56     0.0    56911.369930    200.0    60
c4d_140911_090040_ooi_z_v1.fits.fz    z    5    6    c4d_140911_090040_oow_z_v1.fits.fz    31.55     0.0    56911.372572    200.0    60
c4d_140911_090428_ooi_z_v1.fits.fz    z    5    7    c4d_140911_090428_oow_z_v1.fits.fz    31.42     0.0    56911.375214    200.0    60
c4d_140911_090814_ooi_z_v1.fits.fz    z    5    8    c4d_140911_090814_oow_z_v1.fits.fz    31.49     0.0    56911.377857    200.0    60
c4d_140911_091202_ooi_z_v1.fits.fz    z    5    9    c4d_140911_091202_oow_z_v1.fits.fz    31.42     0.0    56911.380492    200.0    60
c4d_140911_091558_ooi_z_v1.fits.fz    z    5    10    c4d_140911_091558_oow_z_v1.fits.fz    31.33     0.0    56911.383147    200.0    60
c4d_140911_092009_ooi_z_v1.fits.fz    z    4    14    c4d_140911_092009_oow_z_v1.fits.fz    30.54     0.0    56911.387258    100.0    60
